source,original_bytes,desktop_bytes,mobile_bytes,desktop_saving_percent,mobile_saving_percent
assets/timer-lab-review/02-timer-app.mp4,579557,579557,280288,0.0,51.6
assets/timer-lab-review/03-ae-plugin.mp4,478314,478314,246196,0.0,48.5
assets/design-c/dance-test.mp4,658736,479307,258917,27.2,60.7
assets/design-c/dance.mp4,2869562,2164047,1278500,24.6,55.4
assets/design-c/sprite-prototype.mp4,451509,398802,273312,11.7,39.5
assets/design-c/cartoon.mp4,1290924,1290924,764266,0.0,40.8
assets/design-c/animal-character-development.mp4,7842876,2679571,1688682,65.8,78.5
assets/design-c/animal-motion-workflow.mp4,54974,54974,54974,0.0,0.0
assets/design-c/animals.mp4,892697,892697,892697,0.0,0.0
assets/timer-lab-review/06-robot-timer.mp4,1671700,1165905,583899,30.3,65.1
assets/design-c/seascape-process.mp4,619553,619553,410879,0.0,33.7
assets/design-c/seascape.mp4,1934269,1435376,821443,25.8,57.5
assets/design-c/watercolour.mp4,664475,664475,664475,0.0,0.0
assets/design-c/dinosaurs.mp4,1811520,1811520,1269772,0.0,29.9
assets/timer-lab-review/05-owl-bad-1.mp4,1654403,893320,618966,46.0,62.6
assets/timer-lab-review/05-owl-bad-2.mp4,1109143,559361,423378,49.6,61.8
assets/timer-lab-review/05-owl-approved.mp4,985879,495315,364997,49.8,63.0
assets/timer-lab-review/05-node.mp4,281976,281976,212133,0.0,24.8
assets/timer-lab-review/05-final.mp4,1125402,1125402,587260,0.0,47.8
assets/design-c/space.mp4,1041170,807143,440467,22.5,57.7
assets/design-c/rocket.mp4,1920483,1602188,1055114,16.6,45.1
assets/design-c/blocks.mp4,347889,347889,347889,0.0,0.0
assets/design-c/medieval.mp4,1021432,1021432,977066,0.0,4.3
